draw_date,winning_numbers,mega_ball,multiplier,pick5_1,pick5_2,pick5_3,pick5_4,pick5_5,pick5_sum,mega_ball_mod2,pick5_mod2_sum
2019-02-15,10 38 40 43 65,12,2,10,38,40,43,65,196,0,2
2019-02-12,15 32 39 50 65,7,3,15,32,39,50,65,201,1,3
2019-02-08,14 24 31 42 48,13,3,14,24,31,42,48,159,1,1
2019-02-05,03 34 36 59 66,7,2,3,34,36,59,66,198,1,2
2019-01-29,10 33 53 54 62,22,2,10,33,53,54,62,212,0,2
2019-01-25,08 16 30 38 61,10,2,8,16,30,38,61,153,0,1
2019-01-22,04 15 37 59 64,16,5,4,15,37,59,64,179,0,3
2019-01-11,04 05 31 62 69,20,3,4,5,31,62,69,171,0,3
2019-01-08,13 26 29 38 64,5,5,13,26,29,38,64,170,1,2
2019-01-04,21 29 35 54 60,15,4,21,29,35,54,60,199,1,3
2018-12-25,02 08 42 43 50,6,3,2,8,42,43,50,145,0,1
2018-12-21,10 13 61 62 70,5,3,10,13,61,62,70,216,1,2
2018-12-18,13 22 32 60 69,9,3,13,22,32,60,69,196,1,2
2018-12-14,05 22 26 43 49,23,4,5,22,26,43,49,145,1,3
2018-12-11,04 38 39 54 59,12,2,4,38,39,54,59,194,0,2
2018-12-04,28 31 41 42 50,4,3,28,31,41,42,50,192,0,2
2018-11-30,25 28 40 43 63,19,3,25,28,40,43,63,199,1,3
2018-11-27,12 24 37 42 57,18,4,12,24,37,42,57,172,0,2
2018-11-23,07 10 30 33 59,23,4,7,10,30,33,59,139,1,3
2018-11-20,10 16 31 42 66,10,3,10,16,31,42,66,165,0,1
2018-11-09,08 14 27 57 67,5,4,8,14,27,57,67,173,1,3
2018-11-02,03 23 28 46 62,16,2,3,23,28,46,62,162,0,2
2018-10-30,20 31 39 46 49,23,2,20,31,39,46,49,185,1,3
2018-10-26,01 28 61 62 63,5,4,1,28,61,62,63,215,1,3
2018-10-12,04 24 46 61 70,7,3,4,24,46,61,70,205,1,1
2018-10-09,20 22 39 54 60,18,3,20,22,39,54,60,195,0,1
2018-10-05,27 28 32 41 69,12,2,27,28,32,41,69,197,0,3
2018-09-25,08 16 32 48 61,12,2,8,16,32,48,61,165,0,1
2018-09-21,01 02 11 52 64,9,4,1,2,11,52,64,130,1,2
2018-09-14,23 30 40 43 66,13,4,23,30,40,43,66,202,1,2
2018-09-07,08 10 41 54 68,10,2,8,10,41,54,68,181,0,1
2018-08-31,07 18 29 32 45,17,3,7,18,29,32,45,131,1,3
2018-08-28,03 20 33 34 41,20,3,3,20,33,34,41,131,0,3
2018-08-21,14 16 19 38 57,11,3,14,16,19,38,57,144,1,2
2018-08-17,01 31 32 47 56,3,2,1,31,32,47,56,167,1,3
2018-08-14,11 26 44 45 46,11,2,11,26,44,45,46,172,1,2
2018-08-03,09 28 30 54 60,2,2,9,28,30,54,60,181,0,1
2018-07-31,12 15 35 64 69,9,2,12,15,35,64,69,195,1,3
2018-07-27,01 32 40 49 63,20,3,1,32,40,49,63,185,0,3
2018-07-20,01 14 30 44 62,1,2,1,14,30,44,62,151,1,1
2018-07-13,21 22 39 59 68,2,2,21,22,39,59,68,209,0,3
2018-07-10,01 17 28 56 70,14,3,1,17,28,56,70,172,0,2
2018-07-06,02 10 46 50 56,16,3,2,10,46,50,56,164,0,0
2018-07-03,13 35 45 49 68,23,2,13,35,45,49,68,210,1,4
2018-06-29,02 32 47 49 68,23,4,2,32,47,49,68,198,1,2
2018-06-26,17 25 29 39 60,19,2,17,25,29,39,60,170,1,4
2018-06-19,11 13 28 65 70,14,3,11,13,28,65,70,187,0,3
2018-06-15,01 11 37 47 51,6,2,1,11,37,47,51,147,0,5
2018-06-08,14 30 33 44 56,13,2,14,30,33,44,56,177,1,1
2018-06-05,22 33 41 48 52,4,2,22,33,41,48,52,196,0,2
2018-06-01,05 24 52 62 66,17,3,5,24,52,62,66,209,1,1
2018-05-29,02 11 55 58 67,2,3,2,11,55,58,67,193,0,3
2018-05-25,11 14 51 64 68,25,4,11,14,51,64,68,208,1,2
2018-05-22,16 17 21 36 48,9,3,16,17,21,36,48,138,1,2
2018-05-15,21 34 44 49 61,21,2,21,34,44,49,61,209,1,3
2018-05-11,14 38 40 53 70,22,3,14,38,40,53,70,215,0,1
2018-05-08,08 15 39 64 67,13,2,8,15,39,64,67,193,1,3
2018-05-01,02 07 20 55 70,1,4,2,7,20,55,70,154,1,2
2018-04-27,02 29 38 63 66,11,2,2,29,38,63,66,198,1,2
2018-04-24,03 19 31 32 48,10,3,3,19,31,32,48,133,0,3
2018-04-17,12 34 44 47 65,22,4,12,34,44,47,65,202,0,2
2018-04-13,08 09 32 42 59,10,4,8,9,32,42,59,150,0,2
2018-04-10,05 13 31 43 53,20,2,5,13,31,43,53,145,0,5
2018-04-03,04 29 39 42 62,14,2,4,29,39,42,62,176,0,2
2018-03-30,11 28 31 46 59,1,3,11,28,31,46,59,175,1,3
2018-03-27,07 25 43 56 59,13,3,7,25,43,56,59,190,1,4
2018-03-23,04 08 23 53 59,17,3,4,8,23,53,59,147,1,3
2018-03-13,06 30 58 60 61,17,5,6,30,58,60,61,215,1,1
2018-03-09,07 17 18 46 66,22,4,7,17,18,46,66,154,0,2
2018-02-16,14 38 48 53 58,16,3,14,38,48,53,58,211,0,1
2018-02-09,28 34 41 46 47,14,3,28,34,41,46,47,196,0,2
2018-02-06,14 17 25 48 58,25,3,14,17,25,48,58,162,1,2
2018-01-26,10 16 27 38 43,1,4,10,16,27,38,43,134,1,2
2018-01-19,03 17 23 49 66,23,3,3,17,23,49,66,158,1,4
2018-01-12,17 18 33 46 60,24,4,17,18,33,46,60,174,0,2
2018-01-09,16 29 31 65 67,23,3,16,29,31,65,67,208,1,4
2017-12-19,28 37 39 42 58,2,3,28,37,39,42,58,204,0,2
2017-12-15,04 12 36 44 57,19,4,4,12,36,44,57,153,1,1
2017-12-05,14 15 37 42 67,22,4,14,15,37,42,67,175,0,3
2017-12-01,16 22 40 41 59,8,4,16,22,40,41,59,178,0,2
2017-11-28,10 17 47 51 61,5,2,10,17,47,51,61,186,1,4
2017-11-17,03 26 55 58 70,15,4,3,26,55,58,70,212,1,2
2017-11-10,06 23 38 42 58,24,2,6,23,38,42,58,167,0,1
2017-11-03,10 22 42 61 69,3,2,10,22,42,61,69,204,1,2
2017-10-31,06 28 31 52 53,12,4,6,28,31,52,53,170,0,2
